Name,Rating,Genre,Directed By,Runtime
Chimera Strain,"R (for violence, bloody images, and nudity)","Drama, Science Fiction & Fantasy",Maurice Haeems,80 minutes
Triple Threat,"R (for strong violence throughout, and for language)","Action & Adventure, Art House & International",Jesse V. Johnson,96 minutes
Bumblebee,PG-13 (for sequences of sci-fi action violence),"Action & Adventure, Science Fiction & Fantasy",Travis Knight,119 minutes
Unicorn Store,NR,Comedy,Brie Larson,92 minutes
A Vigilante,R (for violence and language),Drama,Sarah Daggar-Nickson,91 minutes
Diane,NR,Drama,Kent Jones,96 minutes
The Legend of Cocaine Island,NR,Documentary,Theo Love,83 minutes
Capernaum (Capharnaüm),R (for language and some drug material),Drama,Nadine Labaki,123 minutes
White Chamber,NR,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Paul Raschid,89 minutes
Tucked,NR,"Art House & International, Drama",Jamie Patterson,120 minutes
